synset,pos,gloss,emotion
SID-00314123-V,verb,"make longer; ""Lengthen this skirt, please""",like
SID-01400374-A,adjective,"associated by chance and not an integral part; ""poetry is something to which words are the accidental, not by any means the essential form""- Frederick W. Robertson; ""they had to decide whether his misconduct was adventitious or the result of a flaw in his character""",fear
SID-00470563-A,adjective,"at or within a short distance in space or time or having elements near each other; ""close to noon""; ""how close are we to town?""; ""a close formation of ships""",like
SID-07411588-N,noun,a feeling of restless agitation,ambiguous
SID-01315499-V,verb,"get rid of (someone who may be a threat) by killing; ""The mafia liquidated the informer""; ""the double agent was neutralized""",disgust
SID-01547304-A,adjective,"not fully developed or mature; not ripe; ""unripe fruit""; ""fried green tomatoes""; ""green wood""",disgust
SID-00958708-N,noun,"(military) an offensive against an enemy (using weapons); ""the attack began at dawn""",fear
SID-02439731-A,adjective,"causing surprise or wonder or amazement; ""the report shows a surprising lack of hard factual data""; ""leaped up with surprising agility""; ""she earned a surprising amount of money""",surprise
SID-00303868-N,noun,"a regular journey of some distance to and from your place of work; ""there is standing room only on the high-speed commute""",disgust
SID-07416558-N,noun,"a feeling of annoyance at being hindered or criticized; ""her constant complaints were the main source of his frustration""",disgust
SID-01572144-A,adjective,"associated with or performed by civilians as contrasted with the military; ""civilian clothing""; ""civilian life""",like
SID-02501495-A,adjective,"showing lack of careful thought; ""the debate turned into thoughtless bickering""",disgust
SID-07396501-N,noun,"a penchant for something even though it might not be good for you; ""he has a weakness for chocolate""",like
SID-01645552-A,adjective,"characterized by malice; ""a hateful thing to do""; ""in a mean mood""",disgust
SID-00133847-A,adjective,"roused to anger; ""stayed huffy a good while""- Mark Twain; ""she gets mad when you wake her up so early""; ""mad at his friend""; ""sore over a remark""",disgust
SID-00245225-N,noun,"the act of improving something; ""their improvements increased the value of the property""",disgust
SID-10323345-N,noun,a person engaged in one of the learned professions,like
SID-01036372-A,adjective,"not encouraging or approving or pleasing; ""unfavorable conditions""; ""an unfavorable comparison""; ""unfavorable comments"", ""unfavorable impression""",disgust
SID-01330712-A,adjective,"inspiring awe or admiration or wonder; ""New York is an amazing city""; ""the Grand Canyon is an awe-inspiring sight""; ""the awesome complexity of the universe""; ""this sea, whose gently awful stirrings seem to speak of some hidden soul beneath""- Melville; ""Westminster Hall's awing majesty, so vast, so high, so silent""",like
SID-04815016-N,noun,the quality of elevation of mind and exaltation of character or ideals or conduct,like
SID-00802044-V,verb,"escape potentially unpleasant consequences; get away with a forbidden action; ""She gets away with murder!""; ""I couldn't get out from under these responsibilities""",disgust
SID-08282947-N,noun,"troops belonging to or allied with your own military forces; ""friendlies came to their rescue""",like
SID-00274880-A,adjective,easily startled or frightened,fear
SID-00001740-A,adjective,"(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""",anticipation
SID-02276976-V,verb,"propose a payment; ""The Swiss dealer offered $2 million for the painting""",like
SID-13775625-N,noun,"the condition of living or the state of being alive; ""while there's life there's hope""; ""life depends on many chemical and physical processes""",hope
SID-00475218-A,adjective,"close in relevance or relationship; ""a close family""; ""we are all...in close sympathy with...""; ""close kin""; ""a close resemblance""",joy
SID-00809812-V,verb,"admit, make a clean breast of; ""She confessed that she had taken the money""",hope
SID-02421854-A,adjective,"of surpassing excellence; ""a brilliant performance""; ""a superb actor""",love
SID-01605175-A,adjective,"giving offense to moral sensibilities and injurious to reputation; ""scandalous behavior""; ""the wicked rascally shameful conduct of the bankrupt""- Thackeray; ""the most shocking book of its time""",disgust
SID-01046476-V,verb,"interfere with or prevent the reception of signals; ""Jam the Voice of America""; ""block the signals emitted by this station""",disgust
SID-00740192-A,adjective,"low in spirits; ""lonely and blue in a strange city""; ""depressed by the loss of his job""; ""a dispirited and resigned expression on her face""; ""downcast after his defeat""; ""feeling discouraged and downhearted""",sadness
SID-01407271-V,verb,change the arrangement or position of,disgust
SID-00850304-V,verb,"cause (somebody) to feel happier or more cheerful; ""She tried to cheer up the disappointed child when he failed to win the spelling bee""",joy
SID-07417878-N,noun,"a feeling of fear and revulsion; ""he gives me the creeps""",fear
SID-11300437-N,noun,precipitation of ice pellets when there are strong rising air currents,disgust
SID-00947996-A,adjective,generalized feeling of distress,sadness
SID-00915954-V,verb,"be amazed at; ""We marvelled at the child's linguistic abilities""",surprise
SID-02061813-A,adjective,"lacking in resolution; ""the accident left others discouraged about going there""",disgust
SID-01424028-A,adjective,"showing or motivated by sympathy and understanding and generosity; ""was charitable in his opinions of others""; ""kindly criticism""; ""a kindly act""; ""sympathetic words""; ""a large-hearted mentor""",love
SID-01291808-A,adjective,"disposed to treat guests and strangers with cordiality and generosity; ""a good-natured and hospitable man""; ""a hospitable act""; ""hospitable invitations""",like
SID-00316186-R,adverb,"in a disgusted manner; ""`Get out of my office,' the professor said disgustedly to the lazy student""",disgust
SID-00274056-A,adjective,"self-consciously timid; ""I never laughed, being bashful; lowering my head, I looked at the wall""- Ezra Pound",fear
SID-00862367-V,verb,"to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""",fear
SID-00213781-A,adjective,"provoking horror; ""an atrocious automobile accident""; ""a frightful crime of decapitation""; ""an alarming, even horrifying, picture""; ""war is beyond all words horrible""- Winston Churchill; ""an ugly wound""",fear
SID-02540724-A,adjective,"(often followed by `with' or used in combination) troubled by or encroached upon in large numbers; ""waters infested with sharks""; ""shark-infested waters""; ""the locust-overrun countryside""; ""drug-plagued streets""",disgust
SID-02016926-A,adjective,"(followed by `to') having come to accept; ""resigned to his fate""",sadness
SID-00463165-A,adjective,lacking or marked by lack of intellectual acuity,disgust
SID-07452188-N,noun,a feeling of sympathetic understanding,like
SID-01763725-V,verb,"be afraid or feel anxious or apprehensive about a possible or probable situation or event; ""I fear she might get aggressive""",fear
SID-02644334-A,adjective,"causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench""",disgust
SID-01213464-N,noun,"a courteous expression (by word or deed) of esteem or regard; ""his deference to her wishes was very flattering""; ""be sure to give my respects to the dean""",like
SID-14206399-N,noun,informal terms for insanity,fear
SID-03891806-N,noun,"the yarn (as in a rug or velvet or corduroy) that stands up from the weave; ""for uniform color and texture tailors cut velvet with the pile running the same direction""",like
SID-07427594-N,noun,a feeling of being at ease in a relationship,joy
SID-00454847-V,verb,"cause to be slowed down or delayed; ""Traffic was delayed by the bad weather""; ""she delayed the work that she didn't want to perform""",disgust
SID-02542163-V,verb,"act in disregard of laws, rules, contracts, or promises; ""offend all laws of humanity""; ""violate the basic laws or human civilization""; ""break a law""; ""break a promise""",disgust
SID-07436368-N,noun,"an oppressive feeling of heavy force; ""bowed down by the weight of responsibility""",sadness
SID-02415934-A,adjective,"not sufficient to meet a need; ""an inadequate income""; ""a poor salary""; ""money is short""; ""on short rations""; ""food is in short supply""; ""short on experience""",sadness
SID-00056729-R,adverb,"of a dreadful kind; ""there was a dreadfully bloody accident on the road this morning""",fear
SID-00175269-A,adjective,showing a sense of shame,disgust
SID-00093213-N,noun,the act of liberating someone or something,anticipation
SID-00147307-R,adverb,"with hesitation; in a hesitant manner; ""he finally accepted hesitantly""",fear
SID-01799700-V,verb,"make content; ""I am contented""",joy
SID-00671976-A,adjective,"characterized by courtesy and gracious good manners; ""if a man be gracious and courteous to strangers it shows he is a citizen of the world""-Francis Bacon",like
SID-08024766-N,noun,the United States federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation); created in 1870,anticipation
SID-01251735-N,noun,"the act of improving something (especially machinery) by raising it to a higher grade (as by adding or replacing components); ""the power plant received a new upgrade""",like
